sample_id,histology_type,compartment,n_cells,fraction
TD1,IAC,endothelial,6,0.02
TD1,IAC,epithelial,53,0.17666666666666667
TD1,IAC,immune,235,0.7833333333333333
TD1,IAC,stromal,6,0.02
TD2,IAC,endothelial,1,0.0033333333333333335
TD2,IAC,epithelial,27,0.09
TD2,IAC,immune,270,0.9
TD2,IAC,stromal,2,0.006666666666666667
TD3,MIA,endothelial,65,0.21666666666666667
TD3,MIA,epithelial,19,0.06333333333333334
TD3,MIA,immune,209,0.6966666666666667
TD3,MIA,stromal,7,0.023333333333333334
TD4,MIA,endothelial,9,0.03
TD4,MIA,epithelial,23,0.07666666666666666
TD4,MIA,immune,251,0.8366666666666667
TD4,MIA,stromal,17,0.056666666666666664
TD5,AIS,endothelial,7,0.023333333333333334
TD5,AIS,epithelial,32,0.10666666666666667
TD5,AIS,immune,245,0.8166666666666667
TD5,AIS,stromal,16,0.05333333333333334
TD6,MIA,endothelial,3,0.01
TD6,MIA,epithelial,41,0.13666666666666666
TD6,MIA,immune,249,0.83
TD6,MIA,stromal,7,0.023333333333333334
TD7,AIS,endothelial,6,0.02
TD7,AIS,epithelial,56,0.18666666666666668
TD7,AIS,immune,222,0.74
TD7,AIS,stromal,16,0.05333333333333334
TD8,AIS,endothelial,12,0.04
TD8,AIS,epithelial,32,0.10666666666666667
TD8,AIS,immune,251,0.8366666666666667
TD8,AIS,stromal,5,0.016666666666666666
TD9,IAC,epithelial,92,0.30666666666666664
TD9,IAC,immune,206,0.6866666666666666
TD9,IAC,stromal,2,0.006666666666666667
